w,setup,batch_size,max_epochs,learning_rate,memory_size,model
0,standard,128,5,0.01,6000,lenet5.py
1,standard,128,5,0.01,6000,bi-rnn.py
2,standard,128,5,0.01,12000,lenet5.py
3,standard,128,5,0.01,12000,bi-rnn.py
4,standard,128,5,0.005,6000,lenet5.py
5,standard,128,5,0.005,6000,bi-rnn.py
6,standard,128,5,0.005,12000,lenet5.py
7,standard,128,5,0.005,12000,bi-rnn.py
8,standard,128,10,0.01,6000,lenet5.py
9,standard,128,10,0.01,6000,bi-rnn.py
10,standard,128,10,0.01,12000,lenet5.py
11,standard,128,10,0.01,12000,bi-rnn.py
12,standard,128,10,0.005,6000,lenet5.py
13,standard,128,10,0.005,6000,bi-rnn.py
14,standard,128,10,0.005,12000,lenet5.py
15,standard,128,10,0.005,12000,bi-rnn.py
16,standard,128,20,0.01,6000,lenet5.py
17,standard,128,20,0.01,6000,bi-rnn.py
18,standard,128,20,0.01,12000,lenet5.py
19,standard,128,20,0.01,12000,bi-rnn.py
20,standard,128,20,0.005,6000,lenet5.py
21,standard,128,20,0.005,6000,bi-rnn.py
22,standard,128,20,0.005,12000,lenet5.py
23,standard,128,20,0.005,12000,bi-rnn.py
24,standard,256,5,0.01,6000,lenet5.py
25,standard,256,5,0.01,6000,bi-rnn.py
26,standard,256,5,0.01,12000,lenet5.py
27,standard,256,5,0.01,12000,bi-rnn.py
28,standard,256,5,0.005,6000,lenet5.py
29,standard,256,5,0.005,6000,bi-rnn.py
30,standard,256,5,0.005,12000,lenet5.py
31,standard,256,5,0.005,12000,bi-rnn.py
32,standard,256,10,0.01,6000,lenet5.py
33,standard,256,10,0.01,6000,bi-rnn.py
34,standard,256,10,0.01,12000,lenet5.py
35,standard,256,10,0.01,12000,bi-rnn.py
36,standard,256,10,0.005,6000,lenet5.py
37,standard,256,10,0.005,6000,bi-rnn.py
38,standard,256,10,0.005,12000,lenet5.py
39,standard,256,10,0.005,12000,bi-rnn.py
40,standard,256,20,0.01,6000,lenet5.py
41,standard,256,20,0.01,6000,bi-rnn.py
42,standard,256,20,0.01,12000,lenet5.py
43,standard,256,20,0.01,12000,bi-rnn.py
44,standard,256,20,0.005,6000,lenet5.py
45,standard,256,20,0.005,6000,bi-rnn.py
46,standard,256,20,0.005,12000,lenet5.py
47,standard,256,20,0.005,12000,bi-rnn.py
48,hybrid,128,5,0.01,6000,lenet5.py
49,hybrid,128,5,0.01,6000,bi-rnn.py
50,hybrid,128,5,0.01,12000,lenet5.py
51,hybrid,128,5,0.01,12000,bi-rnn.py
52,hybrid,128,5,0.005,6000,lenet5.py
53,hybrid,128,5,0.005,6000,bi-rnn.py
54,hybrid,128,5,0.005,12000,lenet5.py
55,hybrid,128,5,0.005,12000,bi-rnn.py
56,hybrid,128,10,0.01,6000,lenet5.py
57,hybrid,128,10,0.01,6000,bi-rnn.py
58,hybrid,128,10,0.01,12000,lenet5.py
59,hybrid,128,10,0.01,12000,bi-rnn.py
60,hybrid,128,10,0.005,6000,lenet5.py
61,hybrid,128,10,0.005,6000,bi-rnn.py
62,hybrid,128,10,0.005,12000,lenet5.py
63,hybrid,128,10,0.005,12000,bi-rnn.py
64,hybrid,128,20,0.01,6000,lenet5.py
65,hybrid,128,20,0.01,6000,bi-rnn.py
66,hybrid,128,20,0.01,12000,lenet5.py
67,hybrid,128,20,0.01,12000,bi-rnn.py
68,hybrid,128,20,0.005,6000,lenet5.py
69,hybrid,128,20,0.005,6000,bi-rnn.py
70,hybrid,128,20,0.005,12000,lenet5.py
71,hybrid,128,20,0.005,12000,bi-rnn.py
72,hybrid,256,5,0.01,6000,lenet5.py
73,hybrid,256,5,0.01,6000,bi-rnn.py
74,hybrid,256,5,0.01,12000,lenet5.py
75,hybrid,256,5,0.01,12000,bi-rnn.py
76,hybrid,256,5,0.005,6000,lenet5.py
77,hybrid,256,5,0.005,6000,bi-rnn.py
78,hybrid,256,5,0.005,12000,lenet5.py
79,hybrid,256,5,0.005,12000,bi-rnn.py
80,hybrid,256,10,0.01,6000,lenet5.py
81,hybrid,256,10,0.01,6000,bi-rnn.py
82,hybrid,256,10,0.01,12000,lenet5.py
83,hybrid,256,10,0.01,12000,bi-rnn.py
84,hybrid,256,10,0.005,6000,lenet5.py
85,hybrid,256,10,0.005,6000,bi-rnn.py
86,hybrid,256,10,0.005,12000,lenet5.py
87,hybrid,256,10,0.005,12000,bi-rnn.py
88,hybrid,256,20,0.01,6000,lenet5.py
89,hybrid,256,20,0.01,6000,bi-rnn.py
90,hybrid,256,20,0.01,12000,lenet5.py
91,hybrid,256,20,0.01,12000,bi-rnn.py
92,hybrid,256,20,0.005,6000,lenet5.py
93,hybrid,256,20,0.005,6000,bi-rnn.py
94,hybrid,256,20,0.005,12000,lenet5.py
95,hybrid,256,20,0.005,12000,bi-rnn.py
96,optimized,128,5,0.01,6000,lenet5.py
97,optimized,128,5,0.01,6000,bi-rnn.py
98,optimized,128,5,0.01,12000,lenet5.py
99,optimized,128,5,0.01,12000,bi-rnn.py
100,optimized,128,5,0.005,6000,lenet5.py
101,optimized,128,5,0.005,6000,bi-rnn.py
102,optimized,128,5,0.005,12000,lenet5.py
103,optimized,128,5,0.005,12000,bi-rnn.py
104,optimized,128,10,0.01,6000,lenet5.py
105,optimized,128,10,0.01,6000,bi-rnn.py
106,optimized,128,10,0.01,12000,lenet5.py
107,optimized,128,10,0.01,12000,bi-rnn.py
108,optimized,128,10,0.005,6000,lenet5.py
109,optimized,128,10,0.005,6000,bi-rnn.py
110,optimized,128,10,0.005,12000,lenet5.py
111,optimized,128,10,0.005,12000,bi-rnn.py
112,optimized,128,20,0.01,6000,lenet5.py
113,optimized,128,20,0.01,6000,bi-rnn.py
114,optimized,128,20,0.01,12000,lenet5.py
115,optimized,128,20,0.01,12000,bi-rnn.py
116,optimized,128,20,0.005,6000,lenet5.py
117,optimized,128,20,0.005,6000,bi-rnn.py
118,optimized,128,20,0.005,12000,lenet5.py
119,optimized,128,20,0.005,12000,bi-rnn.py
120,optimized,256,5,0.01,6000,lenet5.py
121,optimized,256,5,0.01,6000,bi-rnn.py
122,optimized,256,5,0.01,12000,lenet5.py
123,optimized,256,5,0.01,12000,bi-rnn.py
124,optimized,256,5,0.005,6000,lenet5.py
125,optimized,256,5,0.005,6000,bi-rnn.py
126,optimized,256,5,0.005,12000,lenet5.py
127,optimized,256,5,0.005,12000,bi-rnn.py
128,optimized,256,10,0.01,6000,lenet5.py
129,optimized,256,10,0.01,6000,bi-rnn.py
130,optimized,256,10,0.01,12000,lenet5.py
131,optimized,256,10,0.01,12000,bi-rnn.py
132,optimized,256,10,0.005,6000,lenet5.py
133,optimized,256,10,0.005,6000,bi-rnn.py
134,optimized,256,10,0.005,12000,lenet5.py
135,optimized,256,10,0.005,12000,bi-rnn.py
136,optimized,256,20,0.01,6000,lenet5.py
137,optimized,256,20,0.01,6000,bi-rnn.py
138,optimized,256,20,0.01,12000,lenet5.py
139,optimized,256,20,0.01,12000,bi-rnn.py
140,optimized,256,20,0.005,6000,lenet5.py
141,optimized,256,20,0.005,6000,bi-rnn.py
142,optimized,256,20,0.005,12000,lenet5.py
143,optimized,256,20,0.005,12000,bi-rnn.py
